0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
69456.43,4.09287,69456.42,1.82496,69456.44,8e-05,69456.41,0.00032,69457.32,0.003,69456.28,8e-05,69457.74,8e-05,69455.52,0.08498,69458.55,0.0144,69455.51,0.13041,69459.06,0.003,69455.47,0.00592,69459.81,8e-05,69455.26,8e-05,69459.82,0.25465,69454.97,8e-05,69459.84,8e-05,69454.94,0.00029,69460.22,0.0072,69454.31,0.00092
69456.43,4.09287,69456.42,1.82498,69456.44,8e-05,69456.41,0.00032,69457.32,0.003,69456.28,8e-05,69457.74,8e-05,69455.52,0.08498,69458.55,0.0144,69455.51,0.13041,69459.06,0.003,69455.47,0.00592,69459.81,8e-05,69455.26,8e-05,69459.82,0.25465,69454.97,8e-05,69459.84,8e-05,69454.94,0.00029,69460.22,0.0072,69454.31,0.00092
69456.43,4.09114,69456.42,1.82792,69456.44,8e-05,69456.41,0.00032,69457.32,0.003,69456.28,8e-05,69457.74,8e-05,69455.52,0.08498,69458.55,0.0144,69455.51,0.13041,69459.06,0.003,69455.47,0.00592,69459.81,8e-05,69455.26,8e-05,69459.82,0.25465,69454.97,8e-05,69459.84,8e-05,69454.94,0.00029,69460.22,0.0072,69454.31,0.00092
69456.43,2.99544,69456.42,0.81304,69457.32,0.003,69456.41,0.00032,69457.74,8e-05,69456.28,8e-05,69459.05,0.0072,69455.53,8e-05,69459.06,0.003,69455.52,0.00024,69459.65,0.00144,69455.51,0.00016,69459.81,8e-05,69455.47,0.00016,69459.82,0.25465,69455.26,8e-05,69460.24,0.00021,69454.97,8e-05,69460.25,0.00038,69454.94,0.00029
69456.43,3.72727,69456.42,0.50752,69457.32,0.003,69456.41,0.00056,69457.35,0.01454,69456.28,8e-05,69457.74,8e-05,69455.26,8e-05,69458.69,0.0081,69454.31,0.00067,69459.06,0.003,69453.99,8e-05,69459.18,0.02,69453.81,8e-05,69459.35,0.05295,69453.78,8e-05,69459.81,0.35764,69453.77,0.05177,69459.82,0.25457,69453.7,8e-05
69456.43,3.72727,69456.42,0.5076,69457.32,0.003,69456.41,0.00056,69457.35,0.01454,69456.28,8e-05,69457.74,8e-05,69455.26,8e-05,69458.69,0.0081,69454.31,0.00067,69459.06,0.003,69453.99,8e-05,69459.18,0.02,69453.81,8e-05,69459.35,0.05295,69453.78,8e-05,69459.81,0.35764,69453.77,0.05177,69459.82,0.25465,69453.7,8e-05
69456.43,3.71,69456.42,0.83567,69457.32,0.003,69456.41,0.00064,69457.74,8e-05,69456.28,8e-05,69458.68,0.0072,69455.26,8e-05,69459.06,0.003,69454.74,0.07624,69459.17,0.0072,69454.73,0.13617,69459.18,0.02,69454.31,0.00067,69459.35,0.05295,69453.99,8e-05,69459.81,0.35764,69453.81,8e-05,69459.82,0.25465,69453.79,8e-05
69456.43,3.71,69456.42,0.84043,69457.32,0.003,69456.41,0.00064,69457.74,8e-05,69456.28,8e-05,69458.68,0.0072,69455.26,8e-05,69459.06,0.003,69454.74,0.07624,69459.17,0.0072,69454.73,0.13617,69459.18,0.02,69454.31,0.00067,69459.35,0.05295,69453.99,8e-05,69459.81,0.35764,69453.81,8e-05,69459.82,0.25465,69453.79,8e-05
69456.43,3.7244,69456.42,0.84408,69457.32,0.003,69456.41,0.00064,69457.74,8e-05,69456.28,8e-05,69458.68,0.0072,69455.26,8e-05,69459.06,0.003,69454.74,0.07624,69459.17,0.0072,69454.73,0.13617,69459.18,0.02,69454.31,0.00067,69459.35,0.05295,69453.99,8e-05,69459.81,0.35764,69453.81,8e-05,69459.82,0.25465,69453.79,8e-05
69456.43,3.72396,69456.42,0.84377,69457.32,0.003,69456.41,0.00072,69457.74,8e-05,69456.28,8e-05,69458.68,0.0072,69455.84,0.01168,69459.06,0.003,69455.66,8e-05,69459.17,0.0072,69455.26,8e-05,69459.18,0.02,69454.74,0.07624,69459.35,0.05295,69454.73,0.12465,69459.81,0.35764,69454.31,0.00067,69459.82,0.25465,69453.99,8e-05
69456.43,3.72396,69456.42,0.84377,69457.32,0.003,69456.41,0.00072,69457.74,8e-05,69456.28,8e-05,69458.68,0.0072,69455.84,0.01168,69459.06,0.003,69455.66,8e-05,69459.17,0.0072,69455.26,8e-05,69459.18,0.02,69454.74,0.07624,69459.35,0.05295,69454.73,0.12465,69459.81,0.35764,69454.31,0.00067,69459.82,0.25465,69453.99,8e-05
69456.43,3.72412,69456.42,0.84377,69456.44,8e-05,69456.41,0.00072,69457.32,0.003,69456.28,8e-05,69457.74,8e-05,69455.84,0.01168,69458.68,0.0072,69455.66,8e-05,69459.06,0.003,69455.26,8e-05,69459.17,0.0072,69454.74,0.07624,69459.18,0.02,69454.73,0.12465,69459.35,0.05295,69454.31,8e-05,69459.81,0.35764,69453.99,8e-05
69456.43,3.70871,69456.42,0.84377,69456.44,0.00016,69456.41,0.00072,69456.92,0.0144,69456.28,8e-05,69457.32,0.003,69455.84,0.01168,69457.74,8e-05,69455.66,8e-05,69458.68,0.0072,69455.26,8e-05,69459.06,0.003,69454.74,0.07624,69459.17,0.0072,69454.73,0.12465,69459.18,0.02,69454.31,8e-05,69459.35,0.05295,69453.99,8e-05
69456.43,3.70888,69456.42,0.96874,69456.44,0.00016,69456.41,0.00072,69457.32,0.003,69456.28,8e-05,69457.74,8e-05,69455.84,0.01168,69458.68,0.0072,69455.66,8e-05,69459.06,0.003,69455.26,8e-05,69459.17,0.0072,69454.74,0.07624,69459.18,0.02,69454.73,0.12465,69459.35,0.05295,69454.31,8e-05,69459.81,0.35764,69453.99,8e-05
